,시장/마트 이름,x,y
137,뉴코아아울렛 강남점,37.5094252,127.0073446
138,이마트 왕십리점,37.5617875,127.0384132
139,이마트 용산점,37.529444399999996,126.96555559999999
140,이마트 신도림점,37.529444399999996,126.96555559999999
141,롯데백화점 관악점,37.4904876,126.9250324
142,신세계백화점 강남점,37.5049693,127.0042386
143,이마트 가양점,37.558158299999995,126.8617125
144,이마트 자양점,37.558158299999995,126.8617125
145,이마트 상봉점,37.596478000000005,127.09359599999999
146,홈플러스 동대문점,37.57451079999999,127.0387578
147,롯데백화점 노원점,37.655210100000005,127.0611517
148,이마트 은평점,37.655210100000005,127.0611517
149,이마트 성수점,37.5397379,127.0531007
150,홈플러스 방학점,37.664801700000005,127.04371029999999
151,홈플러스 목동점,37.5302084,126.8732314
152,농협하나로마트 신촌점,37.55644157729343,126.93324727885123
153,홈플러스 중계점,37.6398053,127.068653
154,이마트 에브리데이 창동점,37.6433843,127.03503810000001
155,NC백화점 불광점,37.609708399999995,126.9288532
156,이마트 여의도점,37.5187020,126.9264839
